{'tag': 'parse_comp', 'content': '000001.XSHE', 'created_time': '2018-04-04 22:21:16.445943'}
{'tag': 'parse_comp', 'content': '000002.XSHE', 'created_time': '2018-04-04 22:21:16.792650'}
{'tag': 'parse_comp', 'content': '000004.XSHE', 'created_time': '2018-04-04 22:21:17.142589'}
{'tag': 'parse_comp', 'content': '000005.XSHE', 'created_time': '2018-04-04 22:21:17.519371'}
{'tag': 'parse_comp', 'content': '000006.XSHE', 'created_time': '2018-04-04 22:21:17.904535'}
{'tag': 'parse_comp', 'content': '000007.XSHE', 'created_time': '2018-04-04 22:21:18.263888'}
{'tag': 'parse_comp', 'content': '000008.XSHE', 'created_time': '2018-04-04 22:21:18.585406'}
{'tag': 'parse_comp', 'content': '000009.XSHE', 'created_time': '2018-04-04 22:21:18.993035'}
{'tag': 'parse_comp', 'content': '000010.XSHE', 'created_time': '2018-04-04 22:21:19.360898'}
{'tag': 'parse_comp', 'content': '000011.XSHE', 'created_time': '2018-04-04 22:21:19.760251'}
{'tag': 'redis_start', 'content': '-开始同步缓存-', 'created_time': '2018-04-04 22:28:11.162915'}
{'tag': 'redis_start', 'content': '-开始同步缓存-', 'created_time': '2018-04-04 22:29:13.784535'}
{'tag': 'redis_close', 'content': '-结束同步缓存-', 'created_time': '2018-04-04 22:29:26.808702'}
{'tag': 'redis_start', 'content': '-开始同步缓存-', 'created_time': '2018-04-04 22:49:28.706673'}
{'tag': 'redis_start', 'content': '-开始同步缓存-', 'created_time': '2018-04-04 23:26:22.323123'}
{'tag': 'redis_close', 'content': '-结束同步缓存-', 'created_time': '2018-04-04 23:26:33.154802'}
{'tag': 'redis_start', 'content': '-开始同步缓存-', 'created_time': '2018-04-04 23:43:13.542106'}
{'tag': 'redis_close', 'content': '-结束同步缓存-', 'created_time': '2018-04-04 23:43:21.891666'}
{'tag': 'redis_start', 'content': '-开始同步缓存-', 'created_time': '2018-04-04 23:43:35.592924'}
{'tag': 'redis_close', 'content': '-结束同步缓存-', 'created_time': '2018-04-04 23:43:44.825071'}
{'tag': 'redis_start', 'content': '-开始同步缓存-', 'created_time': '2018-04-04 23:44:30.776627'}
{'tag': 'redis_close', 'content': '-结束同步缓存-', 'created_time': '2018-04-04 23:44:39.655537'}
